tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
62297,KEN,FRA,2018,X,12,,2018,VIA,Bastion,AV,APC/APV,L,12,,2018,Kenya,France,N,0.16,1.92,1.92
32134,KOS,FRA,2016,,4,,2019,VIA,A-330 MRTT,AC,tanker/transport aircraft,L,4,X,2018-2019,South Korea,France,N,98,392,392
57872,KOS,FRA,2015,,210,X,0,LIC,EC155,AC,helicopter,L,,,,South Korea,France,N,0,0,0
53147,KOS,FRA,2021,,4,,0,N/A,Falcon-2000,AC,transport aircraft,L,,,,South Korea,France,N,17.25,69,0
54422,KOS,FRA,2011,X,2,,2017,N/A,Falcon-2000,AC,transport aircraft,L,2,X,2017,South Korea,France,N,17.25,34.5,34.5
55836,KOS,FRA,2013,,8,,2016,N/A,FLASH,GR,ASW sonar,L,8,X,2016,South Korea,France,N,2,16,16
62903,KOS,FRA,2015,X,4,,2021,N/A,ship engine,EN,ship engine,,4,,2021,South Korea,France,N,2.5,10,10
58764,KUW,FRA,2016,,30,,2021,N/A,EC725 Super Cougar,AC,transport helicopter,L,30,X,2020-2021,Kuwait,France,N,7.5,225,225
59295,KUW,FRA,2015,,120,,2018,N/A,Sherpa,AV,APC/APV,L,120,X,2016-2018,Kuwait,France,N,0.25,30,30
59587,KUW,FRA,2018,,300,X,2021,N/A,Sherpa,AV,APC/APV,L,300,X,2019-2021,Kuwait,France,N,0.25,75,75
59570,LAO,FRA,2014,X,2,X,2015,N/A,AS365/AS565 Panther,AC,helicopter,L,2,,2015,Laos,France,N,3.25,6.5,6.5
60985,LEB,FRA,2016,,600,X,2019,AID,HOT,MI,anti-tank missile,L,600,X,2017-2019,Lebanon,France,S,0.008,4.8,4.8
58591,LEB,FRA,2014,,48,,2015,N/A,MILAN,MI,anti-tank missile,L,48,,2015,Lebanon,France,N,0.01,0.48,0.48
58505,LEB,FRA,2012,X,9,X,2013,N/A,Sherpa,AV,APC/APV,L,9,,2013,Lebanon,France,N,0.25,2.25,2.25
60984,LEB,FRA,2016,,25,X,2019,AID,VAB-VCAC,AV,tank destroyer,L,25,X,2017-2019,Lebanon,France,S,0.36,9,9
56859,LEB,FRA,2012,X,4,X,2013,N/A,VAB-VTT,AV,APC,L,4,,2013,Lebanon,France,N,0.3,1.2,1.2
61626,LES,FRA,2016,X,1,,2017,N/A,AS-350/AS-550 Fennec,AC,light helicopter,L,1,,2017,Lesotho,France,N,0.9,0.9,0.9
62236,LES,FRA,2017,X,1,,2018,N/A,AS-350/AS-550 Fennec,AC,light helicopter,L,1,,2018,Lesotho,France,N,0.9,0.9,0.9
63104,LES,FRA,2019,,1,,2019,N/A,AS-350/AS-550 Fennec,AC,light helicopter,L,1,,2019,Lesotho,France,N,0.9,0.9,0.9
56663,LIT,FRA,2013,,3,,2015,N/A,AS365/AS565 Panther,AC,helicopter,L,3,,2015,Lithuania,France,N,3.25,9.75,9.75
65597,LIT,FRA,2022,,18,,0,N/A,CAESAR 155mm,AR,self-propelled gun,,,,,Lithuania,France,N,1.07,19.26,0
66397,LUX,FRA,2022,,,,0,N/A,Akeron-MP,MI,anti-tank missile,L,,,,Luxembourg,France,N,0,0,0
55348,MAL,FRA,2011,X,8,,2019,N/A,2R2M 120mm,AR,mortar,L,8,X,2018-2019,Malaysia,France,N,0.1,0.8,0.8
59924,MAL,FRA,2015,,3,,2016,N/A,EC-120 Colibri,AC,light helicopter,L,3,X,2016,Malaysia,France,N,0.7,2.1,2.1
33178,MAL,FRA,2010,,12,,2014,N/A,EC725 Super Cougar,AC,transport helicopter,L,12,X,2012-2014,Malaysia,France,N,7.5,90,90
54253,MAL,FRA,2014,,6,,0,LIC,Gowind-2500,SH,frigate,L,,,,Malaysia,France,N,211,1266,0
59095,MAL,FRA,2015,,1,X,2016,N/A,Ground Master-200,GR,air search radar,L,1,X,2016,Malaysia,France,N,10,10,10
50369,MAL,FRA,2008,,1,,2013,N/A,Ground Master-400,GR,air search radar,L,1,,2013,Malaysia,France,N,13,13,13
61803,MAL,FRA,2018,,18,,2021,ASS,LG1 105mm,AR,towed gun,L,18,,2020-2021,Malaysia,France,N,0.6,10.8,10.8
58542,MAL,FRA,2015,X,,,0,N/A,MICA,MI,BVRAAM,L,,,,Malaysia,France,N,0.4,0,0
57844,MEX,FRA,2014,,10,,2017,N/A,AS565M Panther,AC,helicopter,L,10,,2016-2017,Mexico,France,N,5,50,50
62339,MEX,FRA,2017,X,1,,2020,VIA,CAPTAS-2,GR,ASW sonar,L,1,X,2020,Mexico,France,N,9,9,9
52300,MEX,FRA,2010,,6,,2014,N/A,EC725 Super Cougar,AC,transport helicopter,L,6,X,2012-2014,Mexico,France,N,7.5,45,45
58287,MEX,FRA,2014,X,2,,2016,N/A,EC725 Super Cougar,AC,transport helicopter,L,2,,2016,Mexico,France,N,7.5,15,15
62365,MEX,FRA,2018,X,1,,2018,N/A,EC725 Super Cougar,AC,transport helicopter,L,1,,2018,Mexico,France,N,7.5,7.5,7.5
60355,MLI,FRA,2016,,2,,2017,N/A,AS-532 Cougar/AS-332,AC,transport helicopter,L,2,,2016-2017,Mali,France,S,2.9,5.8,5.8
59703,MLI,FRA,2015,,5,X,2016,N/A,Bastion,AV,APC/APV,L,5,X,2016,Mali,France,N,0.16,0.8,0.8
63304,MLI,FRA,2019,,13,,2020,AID,Bastion,AV,APC/APV,L,13,,2020,Mali,France,N,0.16,2.08,2.08
53768,MLI,FRA,2011,,2,X,2013,N/A,LH-10 Ellipse,AC,trainer aircraft,L,2,X,2013,Mali,France,N,0.11,0.22,0.22
51350,MOR,FRA,2008,X,25,X,2014,N/A,ASTER-15 SAAM,MI,SAM,L,25,X,2014,Morocco,France,N,0.3,7.5,7.5
63334,MOR,FRA,2020,,36,X,0,N/A,CAESAR 155mm,AR,self-propelled gun,,6,X,2022,Morocco,France,N,1.07,38.52,6.42
40106,MOR,FRA,2008,,1,,2014,N/A,FREMM,SH,frigate,L,1,,2014,Morocco,France,N,482.95,482.95,482.95
54538,MOR,FRA,2013,,3,X,2014,N/A,Ground Master-400,GR,air search radar,L,3,X,2014,Morocco,France,N,13,39,39
65011,MOR,FRA,2019,,2,X,2022,N/A,Ground Master-400,GR,air search radar,L,2,X,2021-2022,Morocco,France,N,13,26,26
57071,MOR,FRA,2013,,2,,2018,N/A,Helios-2,SA,recce satellite,L,2,,2017-2018,Morocco,France,N,50,100,100
57008,MOR,FRA,2013,,3,,2014,N/A,Heron,AC,UAV,L,3,X,2014,Morocco,France,S,1.2,3.6,3.6
58918,MOR,FRA,2015,,1,,2016,N/A,LCT 50m,SH,landing craft,,1,,2016,Morocco,France,N,9.5,9.5,9.5
63588,MOR,FRA,2020,,200,X,0,N/A,MICA,MI,BVRAAM,L,100,X,2022,Morocco,France,N,0.4,80,40
51106,MOR,FRA,2008,X,15,X,2014,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,15,X,2014,Morocco,France,N,1,15,15
51107,MOR,FRA,2008,X,25,X,2013,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,25,X,2012-2013,Morocco,France,N,1,25,25
63664,MOR,FRA,2020,,36,,0,N/A,Sherpa,AV,APC/APV,L,12,X,2022,Morocco,France,N,0.25,9,3
63335,MOR,FRA,2020,,4,X,0,N/A,VL-MICA,AD,SAM system,L,2,X,2022,Morocco,France,N,20,80,40
59446,MOZ,FRA,2015,,3,,2016,N/A,HSI-32,SH,patrol craft,L,3,X,2015-2016,Mozambique,France,N,5,15,15
56330,MOZ,FRA,2013,,3,,2016,PRIV,Ocean Eagle-43,SH,patrol craft,L,3,,2016,Mozambique,France,N,11,33,33
63314,MRA,FRA,2019,,7,,2019,N/A,Bastion,AV,APC/APV,L,7,,2019,Mauritania,France,N,0.16,1.12,1.12
60657,MYA,FRA,2010,X,8,,2015,N/A,ship engine,EN,ship engine,,8,,2014-2015,Myanmar,France,N,2.5,20,20
64087,NAT,FRA,2016,,9,,0,VIA,A-330 MRTT,AC,tanker/transport aircraft,L,7,,2020-2022,NATO**,France,N,98,882,686
62004,NEP,FRA,2017,X,1,,2018,N/A,AS-350/AS-550 Fennec,AC,light helicopter,L,1,,2018,Nepal,France,N,0.9,0.9,0.9
