tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
59275,BRA,UK,2013,X,8,,0,N/A,Seaspray,GR,MP aircraft radar,L,7,X,2015-2021,Brazil,United Kingdom,N,2,16,14
57984,BRA,UK,2013,X,3,,2013,N/A,ship engine,EN,ship engine,,3,,2013,Brazil,United Kingdom,S,0.6,1.8,1.8
53136,BRA,UK,2011,,3,,2013,N/A,VT-90,SH,OPV,L,3,,2012-2013,Brazil,United Kingdom,N,39.25,117.75,117.75
64573,CAN,UK,2021,,,,0,N/A,CAMM,MI,SAM,L,,,,Canada,United Kingdom,N,0.35,0,0
57006,CAN,UK,2019,,15,,0,LIC,Global Combat Ship,SH,frigate,,,,,Canada,United Kingdom,N,0,0,0
36275,CAN,UK,2005,,12,,2008,N/A,UFH/M-777 155mm,AR,towed gun,L,12,,2005-2008,Canada,United Kingdom,N,1,12,12
39606,CAN,UK,2009,,25,,2011,N/A,UFH/M-777 155mm,AR,towed gun,L,25,X,2009-2011,Canada,United Kingdom,N,1,25,25
54512,CHE,UK,2011,,2,,2012,N/A,AS-532 Cougar/AS-332,AC,transport helicopter,L,2,,2012,Chile,United Kingdom,S,2.9,5.8,5.8
60703,CHE,UK,2017,X,150,X,2021,N/A,CAMM,MI,SAM,L,150,X,2019-2021,Chile,United Kingdom,N,0.35,52.5,52.5
65150,CHE,UK,2021,,2,,2022,N/A,E-3A Sentry,AC,AEW&C aircraft,L,2,,2022,Chile,United Kingdom,S,100,200,200
39009,CHE,UK,2006,,200,X,2008,N/A,Seawolf,MI,SAM,L,200,X,2007-2008,Chile,United Kingdom,N,0.25,50,50
57985,CHE,UK,2013,X,1,,2013,N/A,ship engine,EN,ship engine,,1,,2013,Chile,United Kingdom,S,0.6,0.6,0.6
34044,CHE,UK,2005,,3,,2008,N/A,Type-23,SH,frigate,L,3,,2006-2008,Chile,United Kingdom,S,120,360,360
32416,CHI,UK,1975,X,,,0,LIC,Spey,EN,turbofan,L,540,X,1998-2022,China,United Kingdom,N,2,0,1080
61574,COL,UK,2017,,18,,2018,N/A,L-118 105mm,AR,towed gun,L,18,X,2017-2018,Colombia,United Kingdom,N,0.6,10.8,10.8
59880,CON,UK,2015,,28,X,2015,N/A,AT-105 Saxon,AV,APC,L,28,X,2015,Congo,United Kingdom,S,0.08,2.24,2.24
30243,DEN,UK,2001,,14,,2010,LIC,AW101,AC,transport helicopter,L,14,X,2005-2010,Denmark,United Kingdom,N,12.5,175,175
64569,DJI,UK,2019,X,8,X,2020,POLI,Spartan,AV,APC,L,8,,2020,Djibouti,United Kingdom,S,0.1,0.8,0.8
38347,ECU,UK,2010,,4,,2012,N/A,Seaspray,GR,MP aircraft radar,L,4,X,2011-2012,Ecuador,United Kingdom,N,2,8,8
64958,EGY,UK,2021,,2,,0,N/A,Fort Rosalie,SH,replenishment ship,,,,,Egypt,United Kingdom,S,0,0,0
39510,EST,UK,2006,,3,,2009,N/A,Sandown,SH,minehunter,L,3,,2007-2009,Estonia,United Kingdom,S,18,54,54
60324,FIN,UK,2016,,28,,2018,N/A,G-115,AC,trainer aircraft,L,28,X,2016-2018,Finland,United Kingdom,S,0.04,1.12,1.12
59455,FRA,UK,2015,,,,0,N/A,air refuel system,OT,air refuel system,L,5,X,2017-2021,France,United Kingdom,N,10,0,50
58076,FRA,UK,2015,,26,X,0,N/A,Trent-700,EN,turbofan,L,8,,2018-2021,France,United Kingdom,N,6,156,48
61623,FRG,UK,2003,X,6,,0,N/A,air refuel system,OT,air refuel system,L,4,X,2018-2021,Germany,United Kingdom,N,10,60,40
65554,GHA,UK,2022,,70,,2022,AID?,MXT-MV,AV,APV,L,70,X,2022,Ghana,United Kingdom,S,0.064,4.48,4.48
64186,GRE,UK,2021,,36,X,0,VIA,Meteor,MI,BVRAAM,L,10,X,2022,Greece,United Kingdom,N,0.8,28.8,8
23684,GRE,UK,2003,,2,,2015,LIC,Super Vita,SH,FAC,L,2,,2010-2015,Greece,United Kingdom,N,53,106,106
50608,GRE,UK,2008,,2,,2022,LIC,Super Vita,SH,FAC,L,2,,2020-2022,Greece,United Kingdom,N,53,106,106
62032,GUY,UK,2018,X,2,,2019,N/A,Skyvan,AC,light transport aircraft,L,2,,2019,Guyana,United Kingdom,S,1,2,2
36741,IND,UK,2014,,,,0,LIC,ASRAAM,MI,BVRAAM,L,,,,India,United Kingdom,N,0.18,0,0
21044,IND,UK,2004,,66,,2012,LIC,Hawk-100,AC,trainer/combat aircraft,L,66,X,2007-2012,India,United Kingdom,N,10,660,660
34492,IND,UK,2010,,57,,2016,LIC,Hawk-100,AC,trainer/combat aircraft,L,57,X,2013-2016,India,United Kingdom,N,10,570,570
30758,IND,UK,2006,,20,,2009,LIC,Jaguar-S,AC,FGA aircraft,L,20,X,2007-2009,India,United Kingdom,N,13,260,260
60201,IND,UK,2017,,200,X,2022,N/A,Meteor,MI,BVRAAM,L,200,X,2020-2022,India,United Kingdom,N,0.8,160,160
36485,IND,UK,2016,,145,,2022,ASS,UFH/M-777 155mm,AR,towed gun,L,145,X,2017-2022,India,United Kingdom,N,1,145,145
65148,INS,UK,2021,X,2,,0,N/A,air refuel system,OT,air refuel system,L,,,,Indonesia,United Kingdom,N,10,20,0
51468,INS,UK,2013,,3,,2014,N/A,Brunei,SH,frigate,L,3,,2014,Indonesia,United Kingdom,N,197.25,591.75,591.75
58135,INS,UK,2014,,5,,2017,OFFS,Forceshield,AD,SAM system,L,5,X,2016-2017,Indonesia,United Kingdom,N,8.5,42.5,42.5
56970,INS,UK,2012,X,750,X,2020,N/A,Starstreak,MI,SAM,L,750,X,2014-2020,Indonesia,United Kingdom,N,0.09,67.5,67.5
54592,INS,UK,2021,,2,,0,LIC,Type-31,SH,frigate,,,,,Indonesia,United Kingdom,N,0,0,0
31750,IRE,UK,2010,,2,,2015,N/A,PV-90,SH,OPV,L,2,,2014-2015,Ireland,United Kingdom,N,34.85,69.7,69.7
58339,IRE,UK,2014,,1,,2016,N/A,PV-90,SH,OPV,L,1,,2016,Ireland,United Kingdom,N,34.85,34.85,34.85
60328,IRE,UK,2016,,1,,2019,N/A,PV-90,SH,OPV,L,1,,2019,Ireland,United Kingdom,N,34.85,34.85,34.85
53727,ITA,UK,2002,,4,,2012,N/A,air refuel system,OT,air refuel system,L,4,,2011-2012,Italy,United Kingdom,N,10,40,40
54341,ITA,UK,2021,X,2,,0,N/A,air refuel system,OT,air refuel system,L,,,,Italy,United Kingdom,N,10,20,0
66229,ITA,UK,2022,,6,,0,N/A,air refuel system,OT,air refuel system,L,,,,Italy,United Kingdom,N,10,60,0
60484,ITA,UK,2016,,2,,0,N/A,MT-30,EN,gas turbine,L,,,,Italy,United Kingdom,N,12,24,0
51131,ITA,UK,2008,,4,,2017,N/A,Seaspray,GR,MP aircraft radar,L,4,X,2017,Italy,United Kingdom,N,2,8,8
